Experiment,Setting,Samples,Rank_Correlation,Top20_Overlap,Risk_MAE
A_none,S1,500,0.5887071076068177,1.0,0.007108949206727324
A_none,S2,1000,0.7419761125740161,0.9047619047619048,0.0367705577577108
A_none,S3,2000,0.5887071076068177,1.0,0.007108949206727324
A_none,S4,5000,0.5656205543673346,1.0,0.022346992668909913
A_none,S5,23438,0.9999999999999999,1.0,0.0
B_q99.9,S1,500,0.8083464241605914,0.9047619047619048,0.010073710524296493
B_q99.9,S2,1000,0.8083464241605914,0.9047619047619048,0.009922373826230853
B_q99.9,S3,2000,1.0,1.0,4.156650365577023e-05
B_q99.9,S4,5000,1.0,1.0,7.94790007137921e-06
B_q99.9,S5,23438,1.0,1.0,0.0
C_q99,S1,500,,1.0,0.0
C_q99,S2,1000,,1.0,0.0
C_q99,S3,2000,,1.0,0.0
C_q99,S4,5000,,1.0,0.0
C_q99,S5,23438,,1.0,0.0
D_family_q99,S1,500,,1.0,0.0
D_family_q99,S2,1000,,1.0,0.0
D_family_q99,S3,2000,,1.0,0.0
D_family_q99,S4,5000,,1.0,0.0
D_family_q99,S5,23438,,1.0,0.0
E_q99.5,S1,500,,1.0,0.0
E_q99.5,S2,1000,,1.0,0.0
E_q99.5,S3,2000,,1.0,0.0
E_q99.5,S4,5000,,1.0,0.0
E_q99.5,S5,23438,,1.0,0.0
F_family_q99.5,S1,500,,1.0,0.0
F_family_q99.5,S2,1000,,1.0,0.0
F_family_q99.5,S3,2000,,1.0,0.0
F_family_q99.5,S4,5000,,1.0,0.0
F_family_q99.5,S5,23438,,1.0,0.0
G_family_q99.9,S1,500,1.0,1.0,9.921577671011368e-05
G_family_q99.9,S2,1000,1.0,1.0,2.547724968438239e-05
G_family_q99.9,S3,2000,1.0,1.0,4.156650365577023e-05
G_family_q99.9,S4,5000,1.0,1.0,7.94790007137921e-06
G_family_q99.9,S5,23438,1.0,1.0,0.0
